13,14,That's embarrassing.,And it's about to get worse.  (She forces an armbinder on you and straps it tight.),PlayerArmbinder(0),
13,14,Are you happy now?,Not yet.  (She forces an armbinder on you and straps it tight.),PlayerArmbinder(2),
13,14,(Blush and bow your head.),Good girl.  (She forces an armbinder on you and straps it tight.),PlayerArmbinder(-2),
14,15,This is really tight.,"Have you learned your lesson?  Will you be good, or I need to restrict you even more?",,
14,15,(Tug on the binder.),"Have you learned your lesson?  Will you be good, or I need to restrict you even more?",,
15,16,"Yes, I've learned my lesson.","Alright.  (She straps your legs with a belt.)  I will release you later, you can struggle for my amusement.","DialogWearItem(""LeatherBelt"", ""ItemFeet"")",
15,16,Yes Mistress.,"Alright.  (She straps your legs with a belt.)  I will release you later, you can struggle for my amusement.","DialogWearItem(""LeatherBelt"", ""ItemFeet"")",
15,16,What lesson?,"I'll show you.  (She uses many more items on you.)  I will release you later, you can struggle for my amusement.",PlayerRandomRestrain(),
15,16,Fuck you!,"Oh yeah?  (She uses many more items on you.)  I will release you later, you can struggle for my amusement.",PlayerRandomRestrain(),
16,,,How's the bratty girl doing?,,
16,,Can you please help me?,"Struggle some more, I'm having fun.",,!MistressWillRelease()
16,,(Whimper and beg for mercy.),"Struggle some more, I'm having fun.",,!MistressWillRelease()
16,0,Can you please help me?,"Very well, I will help you.  (She releases you.)  Don't annoy me anymore.",PlayerRelease(),MistressWillRelease()
16,0,(Whimper and beg for mercy.),"Very well, I will help you.  (She releases you.)  Don't annoy me anymore.",PlayerRelease(),MistressWillRelease()
16,,(Leave her.),,DialogLeave(),
20,,Who's the Head Mistress?,Mistress Sophie is the club current Head Mistress.  She's a strict but fair manager.,,
20,,How do you choose the Head Mistress?,There's an electoral process between Mistresses.  You'll learn more if you become a club Mistress yourself.,,
20,,Can I meet the Head Mistress?,She's not available now.  Please come back later.,,
20,0,Let's talk about something else.,What's on your mind girl?  Time is money.,,
30,0,I'm sorry.  Please forgive me Mistress.,(She gives you a stern look.)  Don't do it again.,"DialogChangeReputation(""Dominant"", -2)",
30,0,I won't do it again.,(She gives you a stern look.)  Fine.,,
30,11,I'll do what I want.,You dare to defy me?  Now you're in trouble!,"DialogChangeReputation(""Dominant"", 3)",
50,,Why the ears and tail?,"She's a neko, a girl with cat features.  Don't judge her, she's a good kitty.",,
50,,You keep her restrained all day?,"Yes, she's not allowed to stray or talk while I work.",,
50,,She's enjoying herself?,"Absolutely, she's my submissive and she's a bondage slut.",,
50,51,Can I play with her?,"(She ponders for a little while.)  You could, but there's a requirement.",,"DialogReputationLess(""Dominant"", 24)"
50,,Can I play with her?,Forget it.  I don't let any Dominant touch my pet.,,"DialogReputationGreater(""Dominant"", 25)"
50,,Can I release her?,No.  Don't even dare to try.,MistressAngryAdd(),GetMistressAngryCount(0)
50,,Can I release her?,Forget it girl.  Don't bug me again on that subject.,MistressAngryAdd(),GetMistressAngryCount(1)
50,,Can I release her?,I said forget it!  Ask me again and you'll be in a world of trouble.,MistressAngryAdd(),GetMistressAngryCount(2)
50,11,Can I release her?,Now you're in trouble!,,GetMistressAngryCount(3)
50,0,Let's talk about something else.,"Fine, and stop staring at my pet.",,
51,52,What requirement?,"If you want to play with her, you must join her.  Do you agree?",,
51,52,Please tell me.,"If you want to play with her, you must join her.  Do you agree?",,
52,,I'm not sure I understand.,"I'm not going to repeat again.  If you want to play with her, you must join her.",DialogRemove(),
52,53,Alright!  I'll do it!,"(She smirks.)  Very well, strip girl.",,!Player.IsNaked()
52,55,Alright!  I'll do it!,Good girl.  (She forces an armbinder on you and straps it tight.),PlayerArmbinder(-3),Player.IsNaked()
52,0,I can't do that.,Don't waste my time then.  Is there anything else you want?,,
53,54,Yes Mistress.  (Strip for her.),(You slowly strip for her as she smiles.),PlayerStrip(),
53,54,I'm not stripping!,We'll see about that!  (She painfully locks your arm behind your back until you give up and strip.),PlayerStrip(),
54,55,That's embarrassing.,And it's about to get worse.  (She forces an armbinder on you and straps it tight.),PlayerArmbinder(-3),
54,55,Are you happy now?,Not yet.  (She forces an armbinder on you and straps it tight.),PlayerArmbinder(-1),
54,55,(Blush and bow your head.),Good girl.  (She forces an armbinder on you and straps it tight.),PlayerArmbinder(-4),
55,56,This is really tight.,And it will get tighter.  (She adds more items.)  You two can play now.,PlayerRandomRestrainPlay(),
55,56,You're a great Mistress.,I try my best.  (She adds more items.)  You two can play now.,PlayerRandomRestrainPlay(),
55,56,(Tug on the binder.),Enjoy your predicament.  (She adds more items.)  You two can play now.,PlayerRandomRestrainPlay(),
56,,Can you please help me?,"Play some more, I'm having fun.",,!MistressWillRelease()
56,,(Whimper and beg for mercy.),"Play some more, I'm having fun.",,!MistressWillRelease()
56,0,Can you please help me?,"Very well, I will help you.  (She releases you.)  I hope you had fun with my pet.",PlayerRelease(),MistressWillRelease()
56,0,(Whimper and beg for mercy.),"Very well, I will help you.  (She releases you.)  I hope you had fun with my pet.",PlayerRelease(),MistressWillRelease()
56,,(Leave her.),,DialogLeave(),
100,,What are the rules for chastity items?,"Only the club Mistresses can unlock chastity devices.  If you have an owner, you need your owner permission to be unlocked.",,
100,,Can I buy a key?,"No, the keys are not for sales.  They are for Mistresses only.",DialogRemove(),
100,110,"I'm stuck, I need your help.","(She smirks.)  So, a subbie girl got herself locked?  What's your story?",,AllowReleaseChastity()
100,,"I'm stuck, I need your help.",(She laughs.)  Better learn to enjoy it girl.  I'm not releasing you.,,RefuseReleaseChastity()
100,130,A friend of mine needs your help.,What friend?  You're alone girl.,,FriendIsChaste()
100,0,Let's talk about something else.,"Alright, but make it snappy.",,
110,111,I wanted to protect myself.,"Since you're not owned, all there is to do is pay the unlocking fee and lick my heels.  (She points to her boot.)",,!Player.IsOwned()
110,111,I was inspecting the belt and it locked on me.,"Since you're not owned, all there is to do is pay the unlocking fee and lick my heels.  (She points to her boot.)",,!Player.IsOwned()
110,111,Someone played a prank on me.,"Since you're not owned, all there is to do is pay the unlocking fee and lick my heels.  (She points to her boot.)",,!Player.IsOwned()
110,111,"I've played a crazy ""Truth or Dare"" game.","Since you're not owned, all there is to do is pay the unlocking fee and lick my heels.  (She points to her boot.)",,!Player.IsOwned()
110,120,I wanted to protect myself.,"I understand.  But since you're owned, I need your Mistress approval to unlock any chastity item from you.",,Player.IsOwned()
110,120,I was inspecting the belt and it locked on me.,"(She grins.)  Of course.  Since you're owned, I need your Mistress approval to unlock any chastity item from you.",,Player.IsOwned()
110,120,Someone played a prank on me.,"I understand.  But since you're owned, I need your Mistress approval to unlock any chastity item from you.",,Player.IsOwned()
110,120,"I've played a crazy game of: ""Truth or Dare"".","I hope you won that game.  Since you're owned, I need your Mistress approval to unlock any chastity item from you.",,Player.IsOwned()
110,120,My Mistress wanted to protect me.,"Very well, but you know that I need your Mistress approval to unlock any chastity item from you.",,Player.IsOwned()
110,120,My owner punished me.,I bet you deserved it.  You know that I need your Mistress approval to unlock any chastity item from you.,,Player.IsOwned()
111,112,I'm not kissing your ass or licking your heels.,You can't blame me for trying.  Just pay the unlocking fee of 25$ then.,,"DialogReputationGreater(""Dominant"", 40)"
111,,Lick your heels?  That's the regular procedure?,"My duty, my rules.  You lick or your leave?",DialogRemove(),
111,112,Fine.  (Lick her heels.),"(You bend down and slowly lick her heels as she laughs.)  Good girl, the unlocking fee is 25$.",,
111,0,I won't lick your heels!,(She laughs.)  Then you stay chaste. ,,
112,,That's extortion!,"No, that's a lesson.  You pay or you go?",DialogRemove(),
112,113,Please unlock the bra.  (Pay her 25$.),Alright.  (You remove your clothes and she unlocks the bra.)  How does it feel?,"UnlockItem(""ItemBreast"")",CanUnlockBra()
112,113,Please unlock the belt.  (Pay her 25$.),Alright.  (You remove your clothes and she unlocks the belt.)  How does it feel?,"UnlockItem(""ItemPelvis"")",CanUnlockBelt()
112,0,I don't have enough money.,Get to work then.  I'm not doing any discount.,,!DialogMoneyGreater(25)
112,0,I'll think about it.,Think about ways to stop wasting my time girl.,,
113,0,Better!  I'll never get stuck again.,"(She laughs.)  They all say that, and they all come back.","DialogChangeReputation(""Dominant"", 2)",
113,0,This is great!,Be careful not to get locked again.  I don't do discount for multiple release.,,
113,0,"(Blush.)  This is wonderful, thanks Mistress.","She pets your head.  Good girl, be careful not to get locked again.","DialogChangeReputation(""Dominant"", -2)",
120,121,My owner isn't a club member.,That's not a problem girl.  We will call her to get her approval.,,OwnerFromBondageCollege()
120,121,My Mistress is a college student.,That's not a problem girl.  We will call her to get her approval.,,OwnerFromBondageCollege()
120,121,My owner is in my private room.,Excellent.  I will send a maid to get her approval.,,OwnerInPrivateRoom()
120,121,Mistress is in the club right now.,Good.  I will send a maid to get her approval.,,OwnerInPrivateRoom()
120,121,I can go get my owner.,You don't need to do anything.  I will send a maid to get her approval.,,OwnerInPrivateRoom()
120,121,I'm not sure where my owner is.,"Don't worry, we will find her.  I will send a maid to get her approval.",,OwnerAway()
120,121,My Mistress isn't around.,"Don't worry, we will find her.  I will send a maid to get her approval.",,OwnerAway()
121,122,That's easy!,"It's not that easy, there's a 20$ fee to contact your Mistress and a 25$ fee for any item to remove.  And you won't get any refund if she refuses.",,
121,122,Thanks Mistress.,"Hold on girl, there's a 20$ fee to contact your Mistress and a 25$ fee for any item to remove.  And you won't get any refund if she refuses.",,
121,122,Does it cost anything?,"Of course, there's a 20$ fee to contact your Mistress and a 25$ fee for any item to remove.  And you won't get any refund if she refuses.",,
122,123,Please contact her. (Pay her 20$.),(She takes your money and sends a maid to contact your owner.)  Come back in a few minutes,ContactOwner(),DialogMoneyGreater(20)
122,0,I don't have enough money.,Get to work then.  I'm not doing any discount.,,!DialogMoneyGreater(20)
122,0,I'll think about it.,Think about ways to stop wasting my time girl.,,
123,,,"(She grins.)  Welcome back, chaste girl.",,
123,,Have you contacted my owner?,"Not yet, don't be hasty.  Come back in a few minutes.",,OwnerPending()
123,124,Have you contacted my owner?,"Yes, and your Mistress accepted to get you out.  It cost 25$ for each item to unlock.",,OwnerAccepted()
123,129,Have you contacted my owner?,"Yes, and your Mistress refused to unlock you.  You will stay chaste girl.",,OwnerRefused()
123,,I'll wait. (Leave her.),,DialogLeave(),
124,,,Which chastity device should I unlock?  The fee is 25$ per item.,,
124,124,Please unlock the bra.  (Pay her 25$.),"Very well, undress subbie girl.  (You remove your clothes and she unlocks the bra.)","UnlockItem(""ItemBreast"")",CanUnlockBra()
124,124,Please unlock the belt.  (Pay her 25$.),"Very well, undress subbie girl.  (You remove your clothes and she unlocks the belt.)","UnlockItem(""ItemPelvis"")",CanUnlockBelt()
124,,I don't have enough money.,Get to work then.  I'm not doing any discount.,,!DialogMoneyGreater(25)
124,0,I'm fine now.  Thanks.,"Alright.  If you ask again, you will have to go through the same procedure.",EndChastityRelease(),
124,,I'll be right back.  (Leave her.),,DialogLeave(),
129,0,Yes Mistress.  (Bow your head.),Good girl.  Enjoy your chaste life.  (She smirks.),"DialogChangeReputation(""Dominant"", -2)",
129,0,What?  That's unfair!,Life isn't fair girl.  I'm not unlocking you.  (She grins.),"DialogChangeReputation(""Dominant"", 2)",
129,0,Alright.,Good.  Is there anything else you need?,,
130,131,She's in my private room.,"I'll make a deal with you then.  I'll send a maid to your room, and she will unlock all of your friends that are not owned by someone else for 50$.",,
130,131,In my room Mistress.,"I'll make a deal with you then.  I'll send a maid to your room, and she will unlock all of your friends that are not owned by someone else for 50$.",,
131,0,Deal!  (Pay her 50$.),Very good.  (She takes the money and sends a maid to your private room.)  Anything else?,ReleasePrivateRoom(),DialogMoneyGreater(50)
131,0,I don't have enough money.,Get to work then.  I'm not doing any discount.,,!DialogMoneyGreater(50)
131,0,I'll think about it.,Think about ways to stop wasting my time girl.,,
200,,What is a D/s family?,You can build your own D/s family or join a Dominant family.  A submissive can only have one Mistress.  A Mistress can have many collared submissives.,,
200,,Is there a fee to collar or be collared?,"Yes, the Dominant must pay 100$ for each pet, we provide the locking collar.  If a slave wants freedom, she will pay 60$ on the first occurrence and 200$ on others.",,
200,,Will you be my Mistress?,"No, my D/s family is complete.  I'm not looking for a new slave.",DialogRemove(),
200,,Can I collar and own anyone?,"BDSM is consensual.  As long as the person isn't already owned and consent to be your slave, you can collar her.",,
200,,I want to collar a submissive.,Perfect!  You'll have to wait though.  The club is restructuring.  Please come back later.,,
200,,A Dominant wants to collar me.,You must be thrilled sub girl.  You'll have to wait though.  The club is restructuring.  Come back later.,,!Player.IsOwned()
200,210,I want to be released from my owner.,"I'm sorry to hear that.  Breaking a BDSM bond is serious.  Tell me your story, why do you want to leave?",,Player.IsOwned()
200,0,Let's talk about something else.,As long as you don't ask anything idiotic.,,
210,211,My Mistress doesn't want to join the club.,"I understand.  BDSM is consensual, you have the right to leave your owner.  Since we don't encourage flyby slaves, there's a fee for your freedom.",,OwnerFromBondageCollege()
210,211,"My owner is a student, she's not mature enough.","That makes sense.  BDSM is consensual, you have the right to leave your owner.  Since we don't encourage flyby slaves, there's a fee for your freedom.",,OwnerFromBondageCollege()
210,211,My owner disappeared.,"Poor girl, I'm sure you'll find another owner someday.  Since we don't encourage flyby slaves, there's a fee for your freedom.",,OwnerAway()
210,211,My limits were broken too many times.,"I'm sorry for you, some limits are not meant to be broken.  Since we don't encourage flyby slaves, there's a fee for your freedom.",,
210,211,I've found a better Mistress.,"The Bondage Club isn't a shopping mall for Dominants.  (She frowns at you.)  Since we don't encourage flyby slaves, there's a fee for your freedom.",,
210,211,My owner doesn't want me anymore.,"Poor girl, I'm sure you'll find a good owner someday.  But since we don't encourage flyby slaves, there's a fee for your freedom.",,
210,211,Mistress wants to become a slave.,"People change you know, it can happen to the best of us.  Since we don't encourage flyby slaves, there's a fee for your freedom.",,
210,0,I guess I don't have any good reason.,Then that collar stays around your neck girl.  Go see your Mistress and work things out with her.,,
211,212,How much does it cost?,"The regular cost to be released from your owner bond is 200$.  But since everyone can make mistakes, it cost 60$ if it's the first time you do it.",,
211,212,I'm kind of poor.,"The regular cost to be released from your owner bond is 200$.  But since everyone can make mistakes, it cost 60$ if it's the first time you do it.",,
211,212,(Let her talk.),"The regular cost to be released from your owner bond is 200$.  But since everyone can make mistakes, it cost 60$ if it's the first time you do it.",,
212,,Why are there two different prices?,We want to make sure that our members take their D/s relationship seriously.  You can see the higher price as a punitive measure.,DialogRemove(),
212,213,I want my freedom. (Pay her 60$),"Very well, it seems that we've lost a pet.  I will remove the slave collar from your neck.",DialogChangeMoney(-60),CanReleaseFromOwnerFirst()
212,213,I want my freedom. (Pay her 200$),Take your time before getting collared again.  I will remove the slave collar from your neck.,DialogChangeMoney(-200),CanReleaseFromOwner()
212,0,Let me think about it.,"Think girl, this is a serious decision.",,
213,214,Alright.  (Expose your neck.),"(She gets a special key and unlocks the collar from your neck.)  You're free girl, enjoy the club as you see fit.",ReleaseFromOwner(10),
213,214,(Bow your head and expose your neck.),"(She gets a special key and unlocks the collar from your neck.)  You're free girl, enjoy the club as you see fit.",ReleaseFromOwner(7),
213,214,I won't get collared again.  (Expose your neck.),"(She gets a special key and unlocks the collar from your neck.)  You're free girl, enjoy the club as you see fit.",ReleaseFromOwner(13),
214,0,Thanks a lot.,My pleasure.  Is there anything else you need?,,
214,0,I will!,Good.  Is there anything else you need?,,
214,0,(Nod happily.),Is there anything else you need?,,
